Timestamp: 55761 ms, Roll: -3.12238 rad, Pitch: -0.0212265 rad
Timestamp: 55771 ms, Roll: -3.12442 rad, Pitch: -0.0252434 rad
Timestamp: 55781 ms, Roll: -3.12246 rad, Pitch: -0.0271787 rad
Timestamp: 55791 ms, Roll: -3.11713 rad, Pitch: -0.0254711 rad
Timestamp: 55801 ms, Roll: -3.11951 rad, Pitch: -0.0220794 rad
Timestamp: 55811 ms, Roll: -3.12045 rad, Pitch: -0.0211402 rad
Timestamp: 55821 ms, Roll: -3.12352 rad, Pitch: -0.0260942 rad
Timestamp: 55831 ms, Roll: -3.11832 rad, Pitch: -0.0283248 rad
Timestamp: 55841 ms, Roll: -3.1182 rad, Pitch: -0.0254199 rad
Timestamp: 55851 ms, Roll: -3.12133 rad, Pitch: -0.0232939 rad
Timestamp: 55861 ms, Roll: -3.12338 rad, Pitch: -0.0232713 rad
Timestamp: 55871 ms, Roll: -3.12238 rad, Pitch: -0.0262783 rad
Timestamp: 55881 ms, Roll: -3.11622 rad, Pitch: -0.0233385 rad
Timestamp: 55891 ms, Roll: -3.11928 rad, Pitch: -0.0243299 rad
Timestamp: 55901 ms, Roll: -3.12256 rad, Pitch: -0.0280437 rad
Timestamp: 55911 ms, Roll: -3.1194 rad, Pitch: -0.023199 rad
Timestamp: 55921 ms, Roll: -3.12234 rad, Pitch: -0.0263315 rad
Timestamp: 55931 ms, Roll: -3.12129 rad, Pitch: -0.0263844 rad
Timestamp: 55941 ms, Roll: -3.12236 rad, Pitch: -0.0283273 rad
Timestamp: 55951 ms, Roll: -3.12742 rad, Pitch: -0.0252957 rad
Timestamp: 55961 ms, Roll: -3.12149 rad, Pitch: -0.0271235 rad
Timestamp: 55971 ms, Roll: -3.12339 rad, Pitch: -0.0222373 rad
Timestamp: 55981 ms, Roll: -3.11531 rad, Pitch: -0.021223 rad
Timestamp: 55991 ms, Roll: -3.11829 rad, Pitch: -0.0283535 rad
Timestamp: 56001 ms, Roll: -3.12244 rad, Pitch: -0.0251917 rad
Timestamp: 56011 ms, Roll: -3.11946 rad, Pitch: -0.0261446 rad
Timestamp: 56021 ms, Roll: -3.11544 rad, Pitch: -0.026142 rad
Timestamp: 56031 ms, Roll: -3.11723 rad, Pitch: -0.0273962 rad
Timestamp: 56041 ms, Roll: -3.12325 rad, Pitch: -0.0264929 rad
Timestamp: 56051 ms, Roll: -3.12032 rad, Pitch: -0.0283548 rad
Timestamp: 56061 ms, Roll: -3.12154 rad, Pitch: -0.0300751 rad
Timestamp: 56071 ms, Roll: -3.12352 rad, Pitch: -0.0281005 rad
Timestamp: 56081 ms, Roll: -3.11627 rad, Pitch: -0.0253157 rad
Timestamp: 56091 ms, Roll: -3.12129 rad, Pitch: -0.0273987 rad
Timestamp: 56101 ms, Roll: -3.11912 rad, Pitch: -0.0255243 rad
Timestamp: 56111 ms, Roll: -3.12751 rad, Pitch: -0.0331837 rad
Timestamp: 56121 ms, Roll: -3.11836 rad, Pitch: -0.0302856 rad
Timestamp: 56131 ms, Roll: -3.11647 rad, Pitch: -0.0231042 rad
Timestamp: 56141 ms, Roll: -3.11738 rad, Pitch: -0.0211813 rad
Timestamp: 56151 ms, Roll: -3.12246 rad, Pitch: -0.0231538 rad
Timestamp: 56161 ms, Roll: -3.12354 rad, Pitch: -0.0270702 rad
Timestamp: 56171 ms, Roll: -3.12125 rad, Pitch: -0.0274544 rad
Timestamp: 56181 ms, Roll: -3.12034 rad, Pitch: -0.027315 rad
Timestamp: 56191 ms, Roll: -3.1182 rad, Pitch: -0.0223706 rad
Timestamp: 56201 ms, Roll: -3.12328 rad, Pitch: -0.022373 rad
Timestamp: 56211 ms, Roll: -3.11953 rad, Pitch: -0.0230595 rad
Timestamp: 56221 ms, Roll: -3.12145 rad, Pitch: -0.0281842 rad
Timestamp: 56231 ms, Roll: -3.11433 rad, Pitch: -0.0282648 rad
Timestamp: 56241 ms, Roll: -3.1164 rad, Pitch: -0.0292163 rad
Timestamp: 56251 ms, Roll: -3.12028 rad, Pitch: -0.0223262 rad
Timestamp: 56261 ms, Roll: -3.12055 rad, Pitch: -0.0240381 rad
Timestamp: 56271 ms, Roll: -3.12125 rad, Pitch: -0.0254216 rad
Timestamp: 56281 ms, Roll: -3.12047 rad, Pitch: -0.02514 rad
Timestamp: 56291 ms, Roll: -3.11829 rad, Pitch: -0.0293655 rad
Timestamp: 56301 ms, Roll: -3.11846 rad, Pitch: -0.0221233 rad
Timestamp: 56311 ms, Roll: -3.12437 rad, Pitch: -0.0263325 rad
Timestamp: 56321 ms, Roll: -3.1156 rad, Pitch: -0.0289821 rad
Timestamp: 56331 ms, Roll: -3.11955 rad, Pitch: -0.0270409 rad
Timestamp: 56341 ms, Roll: -3.12127 rad, Pitch: -0.0253958 rad
Timestamp: 56351 ms, Roll: -3.12442 rad, Pitch: -0.0212058 rad
Timestamp: 56361 ms, Roll: -3.11935 rad, Pitch: -0.0232459 rad
Timestamp: 56371 ms, Roll: -3.11452 rad, Pitch: -0.0230567 rad
Timestamp: 56381 ms, Roll: -3.11629 rad, Pitch: -0.0252902 rad
Timestamp: 56391 ms, Roll: -3.12221 rad, Pitch: -0.0234607 rad
Timestamp: 56401 ms, Roll: -3.12129 rad, Pitch: -0.0314552 rad
Timestamp: 56411 ms, Roll: -3.12752 rad, Pitch: -0.0321465 rad
Timestamp: 56421 ms, Roll: -3.11848 rad, Pitch: -0.0241095 rad
Timestamp: 56431 ms, Roll: -3.1174 rad, Pitch: -0.0251889 rad
Timestamp: 56441 ms, Roll: -3.11526 rad, Pitch: -0.0222784 rad
Timestamp: 56451 ms, Roll: -3.12336 rad, Pitch: -0.0253197 rad
Timestamp: 56461 ms, Roll: -3.12045 rad, Pitch: -0.0271776 rad
Timestamp: 56471 ms, Roll: -3.12137 rad, Pitch: -0.0222365 rad
Timestamp: 56481 ms, Roll: -3.1182 rad, Pitch: -0.0223706 rad
Timestamp: 56491 ms, Roll: -3.11515 rad, Pitch: -0.0244017 rad
Timestamp: 56501 ms, Roll: -3.11937 rad, Pitch: -0.0222131 rad
Timestamp: 56511 ms, Roll: -3.1225 rad, Pitch: -0.0251158 rad
Timestamp: 56521 ms, Roll: -3.12147 rad, Pitch: -0.0281559 rad
Timestamp: 56531 ms, Roll: -3.11926 rad, Pitch: -0.0284117 rad
Timestamp: 56541 ms, Roll: -3.11818 rad, Pitch: -0.030532 rad
Timestamp: 56551 ms, Roll: -3.12449 rad, Pitch: -0.0271523 rad
Timestamp: 56561 ms, Roll: -3.12145 rad, Pitch: -0.0271781 rad
Timestamp: 56571 ms, Roll: -3.12242 rad, Pitch: -0.0262253 rad
Timestamp: 56581 ms, Roll: -3.12023 rad, Pitch: -0.0264374 rad
Timestamp: 56591 ms, Roll: -3.12535 rad, Pitch: -0.0223284 rad
Timestamp: 56601 ms, Roll: -3.12451 rad, Pitch: -0.0271251 rad
Timestamp: 56611 ms, Roll: -3.11755 rad, Pitch: -0.0270397 rad
Timestamp: 56621 ms, Roll: -3.11536 rad, Pitch: -0.025213 rad
Timestamp: 56631 ms, Roll: -3.1152 rad, Pitch: -0.0263806 rad
Timestamp: 56641 ms, Roll: -3.12234 rad, Pitch: -0.0283559 rad
Timestamp: 56651 ms, Roll: -3.12133 rad, Pitch: -0.0243063 rad
Timestamp: 56661 ms, Roll: -3.12349 rad, Pitch: -0.0231309 rad
Timestamp: 56671 ms, Roll: -3.12242 rad, Pitch: -0.0272335 rad
Timestamp: 56681 ms, Roll: -3.11422 rad, Pitch: -0.0233136 rad
Timestamp: 56691 ms, Roll: -3.12439 rad, Pitch: -0.0273171 rad
Timestamp: 56701 ms, Roll: -3.12038 rad, Pitch: -0.0242322 rad
Timestamp: 56711 ms, Roll: -3.1235 rad, Pitch: -0.0271246 rad
Timestamp: 56721 ms, Roll: -3.11848 rad, Pitch: -0.0251136 rad
Timestamp: 56731 ms, Roll: -3.11544 rad, Pitch: -0.025137 rad
Timestamp: 56741 ms, Roll: -3.11836 rad, Pitch: -0.0252404 rad
Timestamp: 56751 ms, Roll: -3.11836 rad, Pitch: -0.0262495 rad
Timestamp: 56761 ms, Roll: -3.12347 rad, Pitch: -0.026173 rad
Timestamp: 56771 ms, Roll: -3.12041 rad, Pitch: -0.0262242 rad
Timestamp: 56781 ms, Roll: -3.11622 rad, Pitch: -0.0263813 rad
Timestamp: 56791 ms, Roll: -3.11841 rad, Pitch: -0.0292177 rad
Timestamp: 56801 ms, Roll: -3.11547 rad, Pitch: -0.0321388 rad
Timestamp: 56811 ms, Roll: -3.11942 rad, Pitch: -0.0302253 rad
Timestamp: 56821 ms, Roll: -3.11827 rad, Pitch: -0.0293953 rad
